sector,mean,mean err,sigma,sigma err
1,303.394,6.14674,42.6526,5.11661
2,291.653,10.0477,55.6535,10.3293
3,252.814,5.65924,39.649,4.46479
4,258.692,4.11168,29.8263,4.39492
5,260.809,6.10643,46.423,5.06811
6,288.594,7.23008,50.9757,6.56766
7,256.64,3.87407,30.0136,3.38757
8,278.537,4.30301,33.4078,4.5979
9,279.207,13.4348,70.6539,18.3938
10,309.535,11.7556,72.8079,14.2622
11,275.763,6.22093,45.2096,4.74998
12,272.561,13.6682,69.6097,17.5065
13,236.43,4.02039,25.8617,4.36456
14,263.173,3.97391,26.254,3.05141
16,295.261,4.32477,22.8259,2.93595
17,261.74,3.94007,23.7068,3.127
