channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 39.960631, 0.583078, 9.648642, 162.303415, 4.114266, 0.000087, 11.152719, 969034.454327, 12.927875, 969034.454327, 12.927875, 0.000000, 0.000000, 427.460220, 4.907286, 1.358421, 192.136985, 192.136985
1, 31.584951, 2.999662, 10.769638, 144.322745, 5.812641, 2.155726, 21.903788, 6.809030, 15.859954, 6.809030, 15.859954, 0.000000, 0.000000, -1158.460378, 12.044116, -125.603733, 117.801640, 145.085249
2, 39.214103, 1.619826, 10.536953, 115.289140, 5.410628, 7.486770, 3.282381, 3.783437, 5.843272, 3.783437, 5.843272, 0.000000, 0.000000, 360.797460, 5.995712, 1.901553, 154.997615, 154.997615
3, 40.000000, 2.245993, 10.576468, 104.985556, 6.032075, 7.736594, 3.583208, 11.474534, 7.166417, 11.474534, 7.166417, 0.000000, 0.000000, 376.590747, 6.419197, 1.683354, 152.493537, 152.493537
4, 23.500333, 7.715376, -61.786436, 1213.920702, 26.093341, 146704.145923, 5.246295, 183.548807, 3.546325, 183.548807, 3.546325, 0.000000, 0.000000, -4308.475475, 6.494702, -53.436564, 201.270673, 1484.365957
5, 28.000000, 1.554508, 16.985259, -87.094483, -7.946188, 60691.399724, 2.152145, 0.836147, 2.152145, 0.836147, 2.152145, 0.000000, 0.000000, 1427.247008, 8.534561, 3.270872, 214.996916, 132.470812
6, 39.998317, 1.799378, 8.100229, 231.562999, 3.568760, 0.000002, 9.118462, 3.134641, 15.725693, 3.134641, 15.725693, 0.000000, 0.000000, 134.353369, 14.431370, 0.888704, 220.179357, 231.562999
7, 40.000000, 1.647492, 9.321652, 167.562540, 4.011435, 18.303558, 6.624725, 34.252751, 14.828672, 34.252751, 14.828672, 0.000000, 0.000000, 395.594850, 4.735925, 1.347869, 195.630673, 195.630673
8, 21.411670, 0.732932, 28.690201, 60.103805, 5.526217, 3.421797, 4.545599, 1.107607, 7.820345, 1.107607, 7.820345, 0.000000, 0.000000, 486.281435, 7.277334, 2.682898, 87.871087, 69.083417
9, 39.136342, 1.874787, 13.427307, 81.009366, 7.146280, 6.171362, 2.972880, 6.911221, 4.978251, 6.911221, 4.978251, 0.000000, 0.000000, 471.741185, 5.660818, 1.553797, 129.461258, 116.773458
10, 40.000000, 144.840225, 9.899154, 149.360782, 4.186671, 153.560585, 6.202161, 131111.945615, 8.520909, 131111.945615, 8.520909, 0.000000, 0.000000, 416.112649, 5.017713, 1.513293, 181.054745, 181.054745
11, 40.000000, 1.898897, 8.222442, 201.404921, 3.677928, 153.167327, 5.969260, 6.577361, 11.374571, 6.577361, 11.374571, 0.000000, 0.000000, 270.351008, 14.259111, 1.270420, 197.220726, 201.404921
12, 30.863782, 3.785856, 12.917333, 85.095211, 6.207101, 8.211504, 3.505923, 9.551761, 8.063624, 9.551761, 8.063624, 0.000000, 0.000000, 450.381705, 6.306739, 1.910916, 130.616770, 129.884084
13, 39.997165, 2.371512, 10.711002, 115.168302, 5.042471, 10.237291, 4.531372, 1.007238, 6.941544, 1.007238, 6.941544, 0.000000, 0.000000, 415.195265, 5.695148, 1.818067, 155.471548, 155.471548
14, 27.307906, 3.163949, 9.758669, 139.354089, 4.297044, 8.156988, 4.189559, 1.196809, 6.797109, 1.196809, 6.797109, 0.000000, 0.000000, 410.539306, 5.577577, 1.741012, 181.562056, 181.562056
15, 40.000000, 310.337354, 10.584608, 140.501468, 6.261809, 101.647885, 6.987789, 60879.266335, 8.442586, 60879.266335, 8.442586, 0.000000, 0.000000, -690.342440, 11.903669, -5.475749, 119.486917, 140.501476
16, 27.469392, 1.091188, 32.562925, 41.964346, 5.525435, 15.071537, 5.079293, 1.526178, 8.230185, 1.526178, 8.230185, 0.000000, 0.000000, 450.410823, 7.773425, 2.653761, 81.370352, 48.178447
17, 26.928881, 1.381037, 32.219519, 38.494946, 4.885170, 10.095057, 4.950589, 1.188312, 7.774407, 1.188312, 7.774407, 0.000000, 0.000000, 556.628354, 7.372575, 2.541140, 100.558099, 45.541081
18, 29.503248, 1.200475, 32.759768, 33.159365, 4.412431, 5.481142, 5.216928, 0.981979, 7.426202, 0.981979, 7.426202, 0.000000, 0.000000, 660.844492, 7.384500, 2.407034, 119.385282, 40.404549
19, 28.085719, 1.048436, 32.333878, 42.230601, 5.323872, 12.905847, 7.171384, 1.124416, 8.139538, 1.124416, 8.139538, 0.000000, 0.000000, 418.408917, 7.420431, 2.867937, 75.588348, 48.833937
