DBN, MPV
255, 345.848320
235, 259.448377
267, 283.653887
1286, 284.494954
1297, 301.697223
1298, 320.801339
1300, 283.620404
1313, 270.707175
1361, 306.631355
277, 245.829968
275, 284.333185
279, 299.872318
287, 218.333213
291, 293.310982
298, 315.264173
303, 324.374218
1235, 262.946200
305, 273.313585
306, 337.003789
1209, 287.885276
1365, 275.789680
1161, 309.795355
1162, 290.343427
1178, 262.362649
1367, 239.687666
1140, 325.974952
1145, 294.464603
1151, 270.602530
1153, 234.969965
1102, 288.240293
1103, 287.305986
1109, 331.284161
1115, 276.788582
1067, 306.507896
1074, 311.307252
1083, 304.509776
1094, 254.302839
1040, 241.313008
1042, 240.049285
1055, 259.051152
1062, 230.102250
997, 321.881057
1007, 325.427413
1017, 222.825066
1029, 323.534187
418, 301.269011
431, 239.874081
979, 233.391249
1375, 369.213378
443, 335.513867
939, 296.739865
940, 340.687523
960, 343.205309
928, 317.200382
930, 346.497231
933, 328.058108
1379, 327.371807
874, 275.240989
878, 276.350932
879, 300.657476
487, 300.160816
492, 222.766661
846, 375.728532
849, 243.829579
499, 317.607041
501, 267.761220
809, 348.797916
812, 342.957534
777, 270.302530
788, 248.512172
789, 323.697820
536, 365.347085
547, 335.914157
559, 316.788594
623, 272.767062
577, 292.525835
643, 298.508140
747, 337.941853
769, 242.743732
600, 319.857975
679, 318.348252
650, 285.498600
684, 184.845179
604, 241.604051
636, 360.542934
666, 265.515064
670, 240.679892
704, 282.371965
714, 312.851610
719, 243.485391
250, 227.494484
244, 232.520418
261, 285.952326
220, 292.441490
221, 256.042676
1296, 338.901500
211, 249.366183
269, 234.179206
283, 297.220826
280, 161.909063
268, 321.147723
290, 227.992194
297, 301.616790
134, 300.134796
293, 264.241741
307, 305.035129
312, 357.075034
314, 304.294743
313, 256.737716
330, 280.994644
327, 334.550600
311, 259.895575
331, 299.727352
347, 251.030721
1128, 316.386951
338, 347.333979
346, 235.867568
1110, 255.337758
358, 347.956914
354, 350.358254
357, 253.729871
1072, 306.997006
372, 251.711522
1078, 238.404630
1087, 351.833671
388, 306.405415
1034, 356.370037
390, 276.445922
1061, 286.249901
417, 345.931182
409, 324.364786
1014, 282.357307
1009, 271.859292
419, 310.025902
414, 278.931432
422, 291.324662
423, 229.621130
946, 231.582661
948, 283.884434
435, 223.910129
442, 291.214747
910, 207.156274
459, 228.370870
464, 256.173843
461, 278.094110
478, 287.618434
881, 285.208908
467, 258.541690
468, 220.789788
482, 260.909311
484, 245.227814
493, 286.632497
483, 371.306240
834, 290.841603
498, 254.943723
502, 284.392620
507, 277.739714
516, 247.167528
