dbn,mpv
1001,225.425
1003,268.869
1004,207.577
1005,233.842
1006,268.569
1007,325.427
1008,259.353
1009,271.859
1010,279.666
1013,311.444
1014,282.357
1016,240.668
1017,222.825
1018,315.097
1019,377.826
1020,219.782
1022,256.45
1023,194.486
1024,189.4
1025,304.331
1026,291.854
1027,250.808
1028,241.041
1029,323.534
1030,268.116
1031,304.615
1032,241.899
1033,231.988
1034,356.37
1035,233.75
1036,180.138
1037,253.69
1038,272.212
1039,199.113
1040,241.313
1041,272.233
1042,240.049
1043,179.148
1044,353.181
1045,274.86
1046,230.299
1048,300.224
1050,252.283
1052,228.191
1053,244.693
1054,296.036
1055,259.051
1057,176.818
1058,303.544
1059,267.698
1060,160.518
1061,286.25
1062,230.102
1063,266.949
1064,219.33
1065,215.051
1066,256.464
1067,306.508
1068,191.348
1069,279.036
1072,306.997
1073,268.046
1074,311.307
1075,270.093
1076,280.858
1077,216.069
1078,238.405
1079,263.689
1080,199.022
1081,241.211
1082,262.944
1083,304.51
1084,221.133
1085,265.928
1086,227.602
1087,351.834
1088,246.904
1089,276.234
1090,342.426
1091,252.085
1092,278.345
1093,214.514
1094,254.303
1095,264.536
1096,217.013
1097,260.26
1098,246.28
1099,174.589
1100,274.622
1101,252.488
1102,288.24
1103,287.306
1104,254.302
1105,268.782
1106,288.777
1107,275.809
1108,258.019
1109,331.284
1110,255.338
1112,274.036
1113,207.038
1114,251.251
1115,276.789
1116,215.015
1117,255.151
1119,239.732
1120,275.664
1121,289.107
1123,302.759
1124,262.867
1125,224.761
1126,287.116
1128,316.387
1130,237.145
1133,193.617
1134,211.128
1135,262.917
1136,292.805
1137,258.715
1139,250.228
1140,325.975
1142,256.716
1144,274.32
1145,294.465
1147,307.528
1149,224.885
1150,266.81
1151,270.603
1152,336.397
1153,234.97
1154,251.738
1155,253.639
1156,277.345
1157,95.3153
1158,284.069
1159,218.776
1160,297.457
1161,309.795
1162,290.343
1163,288.216
1164,237.099
1165,302.361
1166,244.901
1167,295.742
1168,368.312
1172,258.142
1173,187.669
1174,226.343
1175,270.711
1176,242.938
1177,251.599
1178,262.363
1179,219.936
1182,260.752
1183,280.579
1184,246.089
1185,283.041
1186,204.797
1187,252.452
1188,247.796
1190,258.551
1191,240.697
1192,235.169
1193,290.256
1194,298.867
1195,292.608
1196,271.697
1197,269.12
1198,321.023
1199,330.272
1200,316.948
1201,297.682
1201,189.327
1202,250.83
1203,250.608
1204,281.476
1206,212.294
1208,377.37
1209,287.885
