sector,block,dbn,mpv,mpv_err,ch0_mpv,ch0_mpv_err,ch1_mpv,ch1_mpv_err,ch2_mpv,ch2_mpv_err,ch3_mpv,ch3_mpv_err,density,fiber_count,fiber_t1,fiber_t2,fiber_t3,fiber_t4,scint_ratio
1,1,227,184.735762,27.011514,,,184.735762,27.011514,,,,,8.862543577,98.5007,98.051,99.4003,99.5502,97.0015,1.257701324
1,2,229,,,,,,,,,,,9.057533203,98.988,98.8006,98.3508,99.7001,99.1004,1.663181557
1,3,247,275.505344,64.081046,,,283.845325,90.581095,,,267.165364,37.580996,9.140206869,99.1379,100.3,99.1004,99.1004,98.051,1.457070282
1,4,255,,,,,,,,,,,9.056104493,99.3253,101.049,99.5502,99.1004,97.6012,1.346957341
1,5,235,376.524041,13.28934,394.080287,13.128084,358.967796,13.450596,,,,,9.049179907,99.8126,100,100.15,99.7001,99.4003,1.13052031
1,6,267,253.116589,14.329082,311.039937,12.464561,244.217867,18.863942,187.190789,15.624172,270.017766,10.363653,9.082489669,99.3628,99.4003,99.5502,99.4003,99.1004,1.277394184
1,7,1286,275.380245,10.726423,262.098469,9.724058,328.97261,12.989283,270.003315,13.036107,240.446586,7.156243,9.099785544,98.9505,98.5007,100.15,99.2504,97.901,1.559809432
1,8,1297,300.630204,14.487095,,,,,299.9894,17.622439,301.271008,11.351752,8.912628061,99.5127,98.9505,99.4003,99.8501,99.8501,1.415279545
1,9,1298,294.324771,8.25354,304.139413,8.376105,284.510129,8.130974,,,,,9.089015357,99.8126,99.7001,99.8501,100,99.7001,1.486574858
1,10,1300,304.4646,10.327922,319.251526,12.514676,316.264225,7.963965,321.41422,8.615404,260.92843,12.217641,8.948685435,99.9625,100.3,100,100,99.5502,1.322137362
1,11,1313,291.173892,9.174142,296.478012,9.263503,282.749269,7.407615,277.239434,11.540595,308.228854,8.484857,9.030487693,98.7631,100.15,98.051,99.2504,97.6012,1.004016784
1,12,1361,267.682201,11.676632,,,,,264.521917,14.636048,270.842486,8.717217,8.881206637,99.6627,99.7001,100,99.7001,99.2504,0.9422641897
1,13,277,310.628415,8.494712,363.508792,9.146202,257.748039,7.843221,,,,,9.21441887,99.2504,100,101.049,98.5007,97.4513,0.9205742934
1,14,275,241.042562,8.014299,248.776772,8.05785,276.901505,9.686522,233.638833,4.798553,204.853137,9.514272,9.202607431,98.8756,98.8006,99.2504,97.7511,99.7001,1.365573484
1,15,279,277.346589,10.850334,253.72519,8.885489,252.429515,6.613092,290.840132,6.425303,312.39152,21.477449,9.122861953,99.6627,100,99.4003,99.7001,99.5502,1.582948827
1,16,287,284.68539,8.611973,,,,,280.847057,8.276497,288.523724,8.947449,8.99037547,99.4753,99.4003,99.5502,99.5502,99.4003,1.56032642
1,17,291,224.547495,5.550022,240.080004,5.330637,209.014986,5.769407,,,,,8.843612884,99.4753,99.7001,99.1004,100,99.1004,1.257709625
1,18,298,284.82182,7.143052,280.998951,5.946076,213.203833,4.880585,304.087534,7.797227,340.996961,9.94832,9.105088492,99.5502,99.4003,99.4003,100,99.4003,
1,19,303,306.063938,7.846018,318.562029,6.721744,220.096009,5.968894,311.863895,10.286194,373.73382,8.407239,9.17337291,99.1379,101.349,99.8501,98.051,97.3013,1.190162613
1,20,1235,313.450959,11.925381,,,,,328.455402,9.486153,298.446517,14.364609,9.0427332,99.5877,100.15,98.9505,99.5502,99.7001,1.043357554
1,21,305,275.871538,5.417352,280.548331,4.650843,271.194745,6.183861,,,,,9.166737261,98.9505,99.5502,99.8501,98.5007,97.901,1.138956017
1,22,306,277.895077,6.137342,245.115762,5.739017,294.223525,7.142527,295.956588,7.283249,276.284436,4.384576,8.960377112,98.4633,97.4513,97.901,99.7001,98.8006,1.34771226
1,23,1209,357.479027,8.774407,363.183021,8.335703,339.983928,6.542414,358.525144,10.885582,368.224017,9.333928,8.943152727,99.925,100,100.15,99.8501,99.7001,1.244575175
1,24,1365,267.58602,8.276193,,,,,252.608249,10.804625,282.563791,5.747762,8.937053357,99.6627,100.15,99.8501,99.7001,98.9505,1.239700458
1,25,1161,272.3499,6.729537,264.059041,6.555264,280.640759,6.90381,,,,,8.957163869,99.2504,99.2504,99.1004,99.2504,99.4003,1.085669729
1,26,1162,309.787071,7.468763,306.517419,7.543326,342.235531,6.632655,261.140422,7.550938,329.254913,8.148132,8.846767037,99.3628,99.2504,99.1004,98.9505,100.15,1.237665686
1,27,1178,283.828903,7.553219,277.997327,8.985353,269.930948,8.027138,309.883809,7.584236,277.503527,5.616147,9.137224308,99.9625,100,100,100,99.8501,1.047932713
1,28,1367,275.069053,9.997211,,,,,235.727219,7.112216,314.410887,12.882206,9.141436184,99.8876,100,101.049,100,98.5007,1.326669464
1,29,1140,237.717231,6.69398,200.772907,6.398228,274.661556,6.989731,,,,,9.047475624,99.3253,100.75,97.901,99.7001,98.9505,1.297606902
1,30,1145,313.320473,9.80614,335.84756,5.997478,262.372278,11.640133,323.749775,11.385573,331.312278,10.201376,8.839929846,99.4753,100.15,98.2009,100,99.5502,1.328331235
1,31,1151,292.40853,7.543918,294.904957,7.53612,253.807277,9.207685,314.351515,7.528746,306.57037,5.903121,9.088577475,98.8006,98.051,101.049,98.6507,97.4513,1.135488062
1,32,1153,280.397891,6.117665,,,,,308.924445,6.317845,251.871337,5.917486,8.923084045,99.1379,99.8501,98.3508,100.6,97.7511,1.128097715
1,33,1102,235.4704,5.928846,198.627529,7.565999,272.313272,4.291693,,,,,9.119690027,99.6627,99.7001,99.8501,99.5502,99.5502,1.158388719
1,34,1103,280.94185,9.987275,294.542158,7.215855,273.833788,14.223468,283.171791,11.352245,272.219664,7.157532,8.989418583,99.925,100,100.6,99.8501,99.2504,1.066699795
1,35,1109,289.229661,7.102573,311.784506,6.577624,262.607307,7.276662,310.328452,7.990253,272.198381,6.565753,9.00061998,99.8126,100,99.5502,100,99.7001,0.9822699856
1,36,1115,318.689194,6.60241,,,,,327.540986,6.885066,309.837401,6.319754,8.912666652,99.8126,99.7001,100.15,99.7001,99.7001,1.232166737
1,37,1067,268.255895,6.144952,298.723959,7.125314,237.787831,5.16459,,,,,9.041755319,99.925,99.7001,100.3,100,99.7001,1.027028741
1,38,1074,295.890458,6.052495,288.205645,6.441331,260.310513,5.198112,335.576496,6.451267,299.469177,6.119271,9.07349442,99.925,100.9,101.049,98.8006,98.9505,1.223904257
1,39,1083,304.959352,7.043165,317.388361,8.5379,319.998232,5.919249,297.425469,6.85669,285.025347,6.858822,8.943319363,99.2504,100.15,98.8006,100,98.051,1.295936729
1,40,1094,307.371245,6.302976,,,,,303.79328,6.25973,310.94921,6.346222,9.165238994,99.8126,99.4003,100.15,100,99.7001,1.213673235
1,41,1040,269.151437,7.924258,297.776948,7.807469,240.525926,8.041046,,,,,9.19309705,98.8381,98.3508,100.9,98.6507,97.4513,1.000005286
1,42,1042,251.039982,7.372715,270.574756,8.102528,222.634356,6.173317,232.544349,9.017964,278.406466,6.197051,9.028234245,99.925,99.5502,100.6,100,99.5502,0.9891785305
1,43,1055,239.595033,7.708766,288.005098,9.748857,192.893751,7.616146,235.005762,7.403588,242.47552,6.066474,9.011271514,99.3253,99.7001,99.5502,99.8501,98.2009,1.052824681
1,44,1062,260.055112,17.557261,,,,,235.367575,8.969785,284.742649,26.144737,8.97000578,99.5877,99.8501,100.15,99.8501,98.5007,1.191955667
1,45,997,204.763548,5.010765,329.921175,6.528944,79.60592,3.492587,,,,,8.89310752,99.6627,99.5502,99.4003,100,99.7001,1.409700018
1,46,1007,333.500909,11.581402,333.093533,6.440535,294.931884,5.288652,337.855879,6.96679,368.122341,27.629631,8.949881363,99.5877,100,99.8501,99.7001,98.8006,1.371245978
1,47,1017,312.000301,7.043347,346.977263,7.903172,293.100283,8.150449,319.607823,6.2285,288.315835,5.891269,9.09129521,99.6252,100.9,100.75,99.1004,97.7511,0.9340039759
1,48,1029,219.49057,9.256578,,,,,250.835478,8.43623,188.145662,10.076927,8.926756976,99.4003,100.15,99.7001,98.5007,99.2504,1.183507869
1,49,418,320.946243,11.273399,347.078297,8.93225,294.814188,13.614548,,,,,9.085765589,99.5502,99.2504,99.8501,99.5502,99.5502,1.576701637
1,50,431,304.767863,7.009991,322.90839,8.789419,257.72412,6.167616,340.249334,6.626937,298.189609,6.455993,8.835730198,99.7751,100,99.8501,99.8501,99.4003,1.301101567
1,51,979,234.553111,5.972077,264.510762,6.304811,234.025572,5.96653,228.492671,6.82743,211.18344,4.789537,9.031849551,99.8126,100.45,101.799,99.1004,97.901,1.051120474
1,52,1375,242.55683,9.983841,,,,,230.810986,13.118315,254.302675,6.849368,9.160352607,99.8501,99.8501,100.3,100,99.2504,1.269610771
1,53,443,362.034318,6.4377,390.22643,5.55735,333.842206,7.31805,,,,,9.085072152,100,100,100.3,99.8501,99.8501,1.637914557
1,54,939,333.134745,5.550929,367.366517,6.733586,325.033892,5.149826,343.916288,6.0841,296.222282,4.236204,9.075730745,99.9625,100.15,100.15,99.8501,99.7001,1.378290021
1,55,940,295.727294,5.533495,309.700244,5.630755,230.101185,5.311108,337.513207,5.227847,305.594541,5.964271,9.135407573,99.5877,98.3508,101.349,97.7511,100.9,1.12918106
1,56,960,359.862378,6.82231,,,,,377.542342,6.993532,342.182414,6.651089,9.053535376,99.5127,98.2009,100.15,99.8501,99.8501,1.682080754
1,57,928,339.124614,5.871042,353.604584,6.468271,324.644644,5.273813,,,,,9.082587883,100,100,100.15,99.8501,100,1.645537022
1,58,930,305.30683,6.158403,288.946435,5.708455,332.71493,6.040909,312.268319,7.290937,287.297638,5.593314,8.895269813,99.8126,100,99.5502,100,99.7001,1.645300052
1,59,933,349.309779,5.765832,381.202049,5.066635,344.461894,5.003089,349.721033,7.4932,321.854141,5.500405,9.090933224,99.8876,99.2504,101.049,99.4003,99.8501,1.257621868
1,60,1379,345.311004,10.920607,,,,,345.401987,7.816888,345.220021,14.024326,9.065515886,99.8501,99.8501,100.3,99.8501,99.4003,1.45725037
1,61,874,330.264197,8.214669,354.748233,10.304095,305.780161,6.125243,,,,,8.936298797,99.7001,100,100.15,100,98.6507,1.690238845
1,62,878,267.10329,5.271992,274.580182,5.721092,240.78913,5.728638,292.363368,5.381866,260.68048,4.256374,9.20595302,99.7751,100,99.8501,99.8501,99.4003,1.126870145
1,63,879,276.56327,4.860941,278.332788,4.499455,268.715382,4.587524,281.605442,5.794637,277.599467,4.562147,8.995524389,99.4003,99.5502,100,98.9505,99.1004,0.8227556302
1,64,880,297.078062,6.76798,,,,,280.038754,5.40151,314.117371,8.13445,9.088610919,99.4378,99.5502,100.6,99.8501,97.7511,1.119971876
1,65,487,312.184433,11.094419,348.636914,11.550918,275.731953,10.637921,,,,,8.932976166,99.7376,100,98.9505,100,100,1.423814525
1,66,492,303.989571,17.908421,301.218202,17.92352,241.301357,14.221253,302.201809,20.491645,371.236915,18.997267,9.057177733,99.5877,101.049,100,97.6012,99.7001,1.381080066
1,67,846,218.346582,26.088516,218.814466,10.170169,201.133691,15.37665,247.454791,12.423717,205.98338,66.38353,9.085993456,99.6627,99.5502,99.8501,99.5502,99.7001,0.9517533037
1,68,849,363.463282,16.315758,,,,,380.073142,14.593102,346.853423,18.038414,8.953926725,99.925,100.15,99.8501,100,99.7001,1.696244171
1,69,499,224.589332,11.266488,256.029059,11.261716,193.149606,11.271261,,,,,9.028371677,99.9625,100,99.8501,100,100,1.052395481
1,70,501,275.577163,11.813585,305.001034,10.68619,278.419964,10.018585,302.40247,13.26261,216.485185,13.286954,9.046546358,99.8126,99.8501,99.7001,100,99.7001,1.499522061
1,71,809,274.749149,15.565036,336.355428,22.16367,240.548142,13.989215,285.186819,7.069442,236.906206,19.037817,8.802092546,99.5502,100,99.4003,99.5502,99.2504,1.268901634
1,72,812,332.456046,10.90886,,,,,331.698897,10.452896,333.213194,11.364825,8.924736335,98.8756,98.3508,99.4003,99.2504,98.5007,1.868597316
1,73,513,334.074718,13.163747,341.760389,13.230282,326.389046,13.097212,,,,,9.000770091,99.8876,99.2504,100.6,99.8501,99.8501,1.396168577
1,74,777,322.024645,15.056996,346.902224,23.912677,278.840747,12.070044,337.236691,12.324662,325.118918,11.920601,9.104944279,99.9625,100.15,100,100,99.7001,1.669914102
1,75,788,254.139204,12.331834,272.788702,13.704841,260.403004,12.217758,261.262423,11.939487,222.102687,11.46525,8.831530996,98.5757,97.901,98.3508,99.4003,98.6507,1.445743846
1,76,789,264.714946,14.357601,,,,,277.896115,18.73676,251.533777,9.978441,9.105580236,98.913,99.4003,100.3,97.901,98.051,1.082306449
1,77,536,340.623857,10.795631,368.799796,12.283137,312.447917,9.308125,,,,,9.093573121,99.925,100.15,101.649,99.5502,98.3508,1.489821517
