1-A,7/10/2018
1-B,7/10/2018
2-A,7/17/2018
2-B,7/17/2018
3-A,7/23/2018
3-B,7/23/2018
4-A,7/31/2018
4-B,7/31/2018
5-A,8/7/2018
5-B,8/7/2018
6-A,8/14/2018
6-B,8/14/2018
7-A,8/21/2018
7-B,8/21/2018
8-A,8/28/2018
8-B,8/28/2018
9-A,9/5/2018
9-B,9/5/2018
10-A,9/11/2018
10-B,9/11/2018
11-A,9/18/2018
11-B,9/18/2018
12-A,9/24/2018
12-B,9/24/2018
13-A,10/2/2018
13-B,10/2/2018
14-A,10/9/2018
14-B,10/9/2018
15-A,10/16/2018
15-B,10/16/2018
16-A,10/23/2018
16-B,10/23/2018
17-A,10/30/2018
17-B,10/30/2018
18-A,11/6/2018
18-B,11/6/2018
19-A,11/14/2018
19-B,11/14/2018
20-A,11/21/2018
20-B,11/21/2018
21-A,4/17/2019
21-B,4/17/2019
22-A,4/17/2019
22-B,4/17/2019
23-A,5/3/2019
23-B,5/3/2019
24-A,5/3/2019
24-B,5/3/2019
25-A,6/19/2019
25-B,6/19/2019
26-A,6/19/2019
26-B,6/19/2019
27-A,7/17/2019
27-B,7/17/2019
28-A,7/17/2019
28-B,7/17/2019
29-A,8/20/2019
29-B,8/20/2019
30-A,8/20/2019
30-B,8/20/2019
31-A,9/18/2019
31-B,9/18/2019
32-A,9/18/2019
32-B,9/18/2019
32-C,9/18/2019
33-A,10/18/2019
33-B,10/18/2019
34-A,10/18/2019
34-B,10/18/2019
34-C,10/18/2019
35-A,11/19/2019
35-B,11/19/2019
36-A,11/19/2019
36-B,11/19/2019
36-C,11/19/2019
37-A,1/2/2019
37-B,1/2/2019
38-A,1/2/2019
38-B,1/2/2019
38-C,1/2/2019
39-A,1/16/2020
39-B,1/16/2020
40-A,1/16/2020
40-B,1/16/2020
40-C,1/16/2020
41-A,2/20/2020
41-B,2/20/2020
42-A,2/20/2020
42-B,2/20/2020
42-C,2/20/2020
43-A,3/15/2020
43-B,3/15/2020
44-A,3/15/2020
44-B,3/15/2020
44-C,3/15/2020
45-A,5/15/2020
45-B,5/15/2020
46-A,5/15/2020
46-B,5/15/2020
46-C,5/15/2020
47-A,5/20/2020
47-B,5/20/2020
48-A,5/20/2020
48-B,5/20/2020
48-C,5/20/2020
49-A,6/18/2020
49-B,6/18/2020
50-A,6/18/2020
50-B,6/18/2020
50-C,6/18/2020
51-A,7/25/2020
51-B,7/25/2020
52-A,7/25/2020
52-B,7/25/2020
52-C,7/25/2020
53-A,8/18/2020
53-B,8/18/2020
54-A,8/18/2020
54-B,8/18/2020
54-C,8/18/2020
55-A,9/17/2020
55-B,9/17/2020
56-A,9/17/2020
56-B,9/17/2020
56-C,9/17/2020
57-A,10/23/2020
57-B,10/23/2020
58-A,10/23/2020
58-B,10/23/2020
58-C,10/23/2020
59-A,11/24/2020
59-B,11/24/2020
60-A,11/24/2020
60-B,11/24/2020
60-C,11/24/2020
61-A,1/4/2021
61-B,1/4/2021
62-A,1/4/2021
62-B,1/4/2021
62-C,1/4/2021
63-A,1/26/2021
63-B,1/26/2021
64-A,1/26/2021
64-B,1/26/2021
64-C,1/26/2021
65-A,2/23/2021
65-B,2/23/2021
66-A,2/23/2021
66-B,2/23/2021
66-C,2/23/2021
67-A,6/7/2021
67-B,6/7/2021
68-A,6/7/2021
68-B,6/7/2021
68-C,6/7/2021
