 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining or potting date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density (g/ml),Tested on,# Fibers N,Good end,ABS N-W (%),LT,10-15(%),15-50(%),50-75(%),r75 (%),R,Tower 1,Tower 2,Tower 3,Tower 4, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Scintillation ratio,Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Final Block Grade,Dens grade,Dim grade,LT grade,Tower grade,Vi,Scint grade,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
F02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F02,,,,,,,,,,,,
F03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F03,,,,,,,,,,,,
F04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F04,,,,,,,,,,,,
F05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F05,,,,,,,,,,,,
F06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F06,,,,,,,,,,,,
F07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F07,,,,,,,,,,,,
F08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F08,,,,,,,,,,,,
F09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F09,,,,,,,,,,,,
F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,
F11,1,21,7,11,1/23/2020,UIUC tested,Sector 1-12,K,,,,,,TJZX,,,,,,,,,,,,,,12/1/2019,,,12/1/2019,,5.4785,2.0806,2.0173,2.1530,1.8756,1.8172,1.9880,362.9,Mason,3494,Mason,9.63,20200110,2658,W,0.1499,99.63,0.1129,0.5267,4.2889,4.9,0.146,99.1004,100.45,99.2504,99.7001,N,N,,,Mason,20200110,227.68,172.608,1.319,Mason,20200110,20200110,Mason,,Saad,Saad,Saad,12A21,43840,,43840,5a,5a,5a,5a,5a,5a,5a,1,1,5a,F11,1,2,A,21,,-0.2667,-0.11176,0.05842,0.1524,-0.08636,0.05588,-0.0254
