 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density(g/mL),Tested on,# Fibers N,Good end,ABS N-W (%),# Fibers / # Holes (%),10-15(%),15-50(%),50-75(%),r75 (%),R,T1(BL) Fiber %,T2(BR) Fiber %,T3(TL) Fiber %,T4(TR) Fiber %, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Ratio (Calibrated Twice),Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Block Grade,De,Di,LT,LTQ,Vi,Sci,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
-1,BL22-SGT1,22,8,,,Test,??,SG47,0,,,,,THP,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,-1,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1,BL19-SG47-1,19,8,0,,early,??,SG47,0,,,,,THP,12,,1121,4123,3002,,,,,,,,,,,0,,,5.3450,2.0760,2.0090,2.1330,1.8690,1.8200,1.9670,349.8,,3360,ET,9.61,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,1,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2,BL22-KUT1,22,8,0,,Sample at Anne's office,??,KU47,0,,,,,THP,,,,,0,,,,,,,,,,,0,,,5.5750,2.0970,2.0330,2.1330,1.8810,1.8140,1.9880,369.0,,,ET,0.00,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#N/A,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,2,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,BL22-SG-2,22,7,0,10/1/2017,,V2.1,SG47,0,1.75,6/20/2017,Ari,,THP,9,,1150,4932,3782,,,,,,,W probably 9 to 12,,,,0,,,5.5750,2.0730,2.0160,2.1370,1.8760,1.8210,1.9800,366.8,,3382,ET/Anabel,9.22,,2653,,,99.44,,,,12.2,0.224,,,,,,,0.0085,0.02,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,3,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,BL22-SG47-4,22,8,0,10/1/2017,early,V2.1,SG47,0,1.75,6/28/2017,Saad,,THP,9,,1080,5048,3968,,,,,,,W probably 9 to 12,,,,0,,,5.5750,2.0750,2.0130,2.1260,1.8780,1.8190,1.9820,365.9,,3472,ET/Anabel,9.49,,2658,,,99.63,,,,1.3,0.112,,,,,,,0.0004,0.007,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,4,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,BL22-SG47-5,22,7,2,11/9/2018,,Sector 0,SG47,0,1.50,6/28/2017,Ari,,THP,4,3,1156,5120,3964,ET,8/6/2018,YS,,,,,,,,0,,,5.5718,2.0673,2.0223,2.1263,1.8643,1.8228,1.9698,364.3,,3460,Anabel,9.50,,2662,,,99.78,,,,,,,,,,,,,,,#NUM!,356.504,,,Anabel,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5a,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,5,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6,BL21-SG-5,21,7,0,10/1/2017,,V2.1,SG47,0,1.50,6/28/2017,Ari,,THP,9,,1112,4962,3850,,,,,,,W probably 9 to 12,,,,0,,,5.4940,2.0750,2.0200,2.1450,1.8750,1.8150,1.9890,363.0,,3545,ET/Anabel,9.77,,2662,,,99.78,,,,4.7,0.185,,,,,,,0.0144,0.033,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,6,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7,BL19-SG-4,19,7,0,10/1/2017,,V2.1,SG47,0,1.75,6/26/2017,Ari,,THP,9,,1087,4936,3849,,,,,,,W probably 9 to 12,,,,0,,,5.3450,2.0620,2.0180,2.1480,1.8800,1.8190,1.9820,352.5,,3414,ET/Anabel,9.68,,2667,,,99.96,,,,2.1,0.142,,,,,,,0.0032,0.021,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,7,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8,BL19-SG47-11,19,7,0,10/1/2017,,V2.1,SG47,0,,7/25/2017,Saad,,THP,9,,1072,5135,4063,,,,,,,W probably 9 to 12,,,,0,,,5.3410,2.0850,2.0250,2.1430,1.8840,1.8210,1.9800,353.3,,3420,ET/Anabel,9.68,,2662,,,99.78,,,,3.8,0.150,,,,,,,0.0089,0.023,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,8,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9,BL123-SG47-3,123,7,1,10/2/2018,,Sector 0,SG47,0,1.75,6/16/2017,Ari,,THP,5,2,1122,5082,3960,ET,7/13/2018,ET,,,,,13.7,7/13/2018,ET,-43294,,,5.4773,2.0803,2.0720,1.9733,1.8225,1.8245,1.9855,346.4,,3338,Anabel,9.64,,2658,,,99.63,,,,,,,,,,,,,,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,9,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10,BL20-SG47,20,7,0,,,??,SG47,0,,,,,THP,9,,1093,5049,3956,,,,,,,W probably 9 to 12,,,,0,,,5.3860,2.0900,2.0210,2.1450,1.8830,1.8210,1.9890,357.2,,3562,ET,9.97,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,10,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
