sector, block, dbn, mpv, mpv_err, ch0_mpv, ch0_mpv_err, ch1_mpv, ch1_mpv_err, ch2_mpv, ch2_mpv_err, ch3_mpv, ch3_mpv_err
1, 1, 255, 184.735762, 27.011514, , , 184.735762, 27.011514, , , , 
1, 2, 247, , , , , , , , , , 
1, 3, 229, 275.505344, 64.081046, , , 283.845325, 90.581095, , , 267.165364, 37.580996
1, 4, 227, , , , , , , , , , 
1, 5, 1297, 376.524041, 13.289340, 394.080287, 13.128084, 358.967796, 13.450596, , , , 
1, 6, 1286, 253.116589, 14.329082, 311.039937, 12.464561, 244.217867, 18.863942, 187.190789, 15.624172, 270.017766, 10.363653
1, 7, 267, 275.380245, 10.726423, 262.098469, 9.724058, 328.972610, 12.989283, 270.003315, 13.036107, 240.446586, 7.156243
1, 8, 235, 300.630204, 14.487095, , , , , 299.989400, 17.622439, 301.271008, 11.351752
1, 9, 1361, 294.324771, 8.253540, 304.139413, 8.376105, 284.510129, 8.130974, , , , 
1, 10, 1313, 304.464600, 10.327922, 319.251526, 12.514676, 316.264225, 7.963965, 321.414220, 8.615404, 260.928430, 12.217641
1, 11, 1300, 291.173892, 9.174142, 296.478012, 9.263503, 282.749269, 7.407615, 277.239434, 11.540595, 308.228854, 8.484857
1, 12, 1298, 267.682201, 11.676632, , , , , 264.521917, 14.636048, 270.842486, 8.717217
1, 13, 287, 310.628415, 8.494712, 363.508792, 9.146202, 257.748039, 7.843221, , , , 
1, 14, 279, 241.042562, 8.014299, 248.776772, 8.057850, 276.901505, 9.686522, 233.638833, 4.798553, 204.853137, 9.514272
1, 15, 275, 277.346589, 10.850334, 253.725190, 8.885489, 252.429515, 6.613092, 290.840132, 6.425303, 312.391520, 21.477449
1, 16, 277, 284.685390, 8.611973, , , , , 280.847057, 8.276497, 288.523724, 8.947449
1, 17, 1235, 224.547495, 5.550022, 240.080004, 5.330637, 209.014986, 5.769407, , , , 
1, 18, 303, 284.821820, 7.143052, 280.998951, 5.946076, 213.203833, 4.880585, 304.087534, 7.797227, 340.996961, 9.948320
1, 19, 298, 306.063938, 7.846018, 318.562029, 6.721744, 220.096009, 5.968894, 311.863895, 10.286194, 373.733820, 8.407239
1, 20, 291, 313.450959, 11.925381, , , , , 328.455402, 9.486153, 298.446517, 14.364609
