SECTOR, RUN, IB0, IB1, IB2, IB3, IB4, IB5
1, 13203, 289.550330, 284.814475, 275.178812, 308.134387, 301.770572, 280.435603
2, 13279, 259.671616, 294.160922, 295.962936, 257.010225, 274.891289, 280.697474
3, 13290, 230.750400, 233.765850, 218.647828, 245.684028, 262.312077, 226.631112
4, 13394, 238.917551, 236.391160, 239.846777, 224.845593, 231.851292, 229.991756
5, 13537, 255.755426, 221.164046, 251.019955, 230.444432, 222.480019, 251.564707
6, 13606, 263.889016, 306.379423, 258.824195, 269.000942, 282.155240, 256.892381
7, 13646, 279.413326, 256.831651, 238.510584, 238.926735, 249.176763, 233.623116
8, 13732, 291.396913, 274.409034, 254.712536, 256.868826, 257.286076, 255.385021
9, 13827, 299.828545, 271.253119, 259.228380, 248.653594, 249.235827, 274.310733
10, 16758, 348.587708, 300.150765, 254.835536, 267.951699, 286.250008, 333.059120
11, 13997, 314.857144, 264.538667, 256.691730, 252.726365, 260.670407, 293.757265
12, 15228, 332.461297, 245.428679, 230.865128, 240.920732, 269.683092, 275.454291
13, 16798, 280.257732, 278.828519, 272.307127, 282.542798, 362.035796, 441.351069
14, 14962, 311.494396, 314.633874, 335.108646, 303.495425, 389.144678, 372.252004
15, 15274, 296.750826, 305.198978, 308.223698, 323.847504, 440.118702, 491.587352
16, 16878, 322.529366, 360.077720, 360.154320, 363.827655, 398.027616, 414.212034
17, 15750, 278.703401, 309.319213, 320.004871, 281.636755, 391.020263, 447.146142
18, 15885, 322.583293, 272.198011, 308.779663, 302.061668, 404.627411, 469.231719
19, 16945, 293.215594, 323.209895, 350.167202, 328.182133, 425.015316, 557.043960
20, 16163, 273.154169, 260.405653, 269.598832, 329.392313, 461.939504, 519.511850
21, 16231, 271.925705, 273.285834, 292.847845, 293.875129, 445.963993, 467.955379
22, 16366, 311.165684, 293.722159, 274.527874, 290.026116, 390.218835, 468.164333
23, 16720, 313.343030, 268.166901, 261.257806, 311.081513, 425.280494, 527.900862
24, 16535, 296.154551, 290.303195, 300.870166, 309.836571, 438.772022, 504.944853
25, 17063, 267.486340, 298.449723, 290.305281, 305.464444, 412.455201, 487.238300
26, 17179, 291.753807, 294.022283, 280.127754, 343.797247, 391.541332, 510.718326
27, 17262, 303.200340, 322.135123, 310.825640, 308.654809, 430.888628, 490.305010
28, 17398, 286.169583, 280.147911, 292.547894, 296.737330, 422.855415, 511.147264
29, 17465, 308.154514, 305.743359, 268.673800, 270.166949, 386.953380, 509.670074
30, 17537, 271.332031, 251.785378, 271.748554, 252.528754, 396.207620, 469.987547
31, 17667, 260.406478, 297.011036, 285.216461, 290.993194, 418.078140, 513.170475
32, 17867, 339.191710, 305.029614, 319.959034, 330.974133, 484.586712, 601.678082
33, 18097, 339.440023, 332.740706, 338.598162, 349.736448, 489.422533, 557.633384
34, 18226, 326.840071, 322.264531, 332.268461, 332.109056, 477.859745, 526.058296
35, 18326, 345.757851, 330.214662, 336.004736, 345.050623, 404.478905, 492.935071
36, 18461, 337.670289, 330.717621, 341.328992, 329.066598, 364.177325, 373.903109
37, 18528, 348.777132, 345.839306, 348.476880, 343.915081, 389.900154, 421.426779
38, 18598, 360.214483, 352.697878, 356.589216, 356.431998, 407.689773, 393.490871
39, 19192, 335.787102, 350.022245, 361.102401, 363.323339, 401.839543, 383.059707
40, 18666, 340.238016, 344.005042, 370.245851, 324.684740, 363.077644, 355.631653
41, 20216, 320.946417, 321.214289, 325.156548, 323.929595, 399.283334, 380.372456
42, 18847, 344.547474, 318.750061, 325.946301, 318.098234, 403.448486, 394.956017
43, 19388, 300.994476, 308.922933, 325.311178, 334.047248, 344.833064, 329.231837
44, 20303, 304.663833, 321.983294, 317.248509, 298.631928, 340.924674, 357.733643
45, 20394, 292.228927, 321.593263, 298.258683, 328.435367, 345.606387, 361.555517
46, 20481, 343.597126, 344.616356, 326.343518, 327.648207, 363.946325, 359.955085
47, 19475, 310.323690, 305.612665, 304.560755, 322.525878, 408.635232, 408.539886
48, 20129, 338.022290, 349.778548, 331.692641, 319.847116, 348.539909, 349.044251
49, 0, , , , , , 
50, 20534, 315.069690, 316.867009, 319.295818, 326.053774, 368.014007, 385.229788
51, 20712, 316.755523, 327.751337, 337.024996, 307.711402, 361.609466, 387.723858
52, 20625, 335.782518, 351.249369, 339.802211, 344.020423, 377.684647, 363.346322
53, 21131, 316.549033, 329.617954, 333.625996, 333.316141, 359.647768, 376.666616
54, 0, , , , , , 
55, 20947, 323.960512, 317.806017, 316.969324, 324.049250, 355.447852, 373.727165
56, 20849, 352.778864, 328.809524, 327.147747, 316.964756, 357.928167, 385.183561
57, 0, , , , , , 
58, 0, , , , , , 
59, 0, , , , , , 
60, 0, , , , , , 
61, 0, , , , , , 
62, 0, , , , , , 
63, 0, , , , , , 
64, 0, , , , , , 
