SECTOR, RUN
1, -1
2, -1
3, -1
4, -1
5, -1
6, -1
7, -1
8, -1
9, -1
10, 16758
11, -1
12, -1
13, 16798
14, -1
15, -1
16, 16878
17, -1
18, -1
19, 16945
20, 16163
21, 16231
22, 16366
23, 16720
24, 16535
25, 17063
26, 17179
27, 17262
28, 17398
29, 17465
30, 17537
31, 17667
32, 17867
33, 18097
34, 18226
35, 18326
36, 18461
37, 18528
38, 18598
39, 19192
40, 18666
41, 0
42, 18847
43, 19388
44, 0
45, 0
46, 0
47, 19475
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
