SECTOR, RUN, IB0, IB1, IB2, IB3, IB4, IB5
1, 13203, 26.097797, 27.916063, 28.241041, 28.431845, 27.486940, 28.360318
2, 13279, 26.011343, 25.872196, 26.270821, 26.358981, 26.919230, 27.767790
3, 13290, 24.998115, 25.821502, 25.654388, 27.035137, 28.633736, 26.968024
4, 13394, 25.915821, 26.383550, 26.418380, 26.511312, 27.057845, 26.528321
5, 13537, 26.955682, 26.148558, 26.730960, 27.672754, 27.413181, 26.873712
6, 13606, 26.041368, 27.939579, 28.457956, 28.164039, 29.653070, 27.503205
7, 13646, 27.219638, 26.000465, 26.285054, 27.402408, 26.369501, 26.507021
8, 13732, 25.766158, 27.266160, 26.679177, 28.126248, 27.975707, 27.563535
9, 13827, 27.546735, 26.693393, 27.705466, 26.360854, 27.014273, 27.621097
10, 16758, 27.280525, 27.335839, 26.307109, 27.427547, 26.522568, 27.248640
11, 13997, 26.525158, 26.022930, 27.127298, 27.373266, 27.038229, 26.542432
12, 15228, 26.631418, 26.679545, 26.183626, 27.024887, 27.235515, 27.514482
13, 16798, 26.750463, 26.045541, 26.554328, 26.137061, 25.997526, 26.105056
14, 14962, 25.746456, 26.270025, 26.883544, 26.506331, 27.142374, 26.967150
15, 15274, 26.095928, 26.316828, 26.638685, 27.010081, 27.139286, 26.920332
16, 16878, 28.282955, 29.093108, 29.014840, 28.619493, 27.019678, 26.031386
17, 15750, 27.425036, 28.006368, 27.524854, 26.216868, 26.743558, 26.623029
18, 15885, 26.298367, 27.321973, 27.201557, 26.542539, 27.394101, 26.865447
19, 16945, 29.196275, 29.773808, 31.301015, 29.173369, 29.433463, 28.659338
20, 16163, 25.678607, 25.975001, 27.190723, 26.988242, 27.168230, 26.849013
21, 16231, 25.987726, 26.220563, 27.026826, 26.635090, 27.187288, 26.838083
22, 16366, 27.115794, 26.340492, 26.834619, 26.798134, 27.025056, 27.009902
23, 16720, 26.611234, 26.709276, 26.778644, 27.341914, 27.072467, 26.475056
24, 16535, 26.376266, 27.137012, 26.877106, 26.091947, 26.185414, 26.242109
25, 17063, 26.968223, 27.054534, 26.955915, 27.093037, 27.961293, 27.499172
26, 17179, 27.451356, 27.260911, 26.424754, 26.310192, 26.123653, 26.860724
27, 17262, 26.677281, 26.788894, 27.440152, 28.005405, 27.787328, 26.945973
28, 17398, 25.763213, 26.896888, 26.934373, 26.832304, 27.253751, 27.388126
29, 17465, 26.207987, 26.911755, 26.656871, 26.584527, 26.890521, 26.399250
30, 17537, 26.622632, 26.169584, 27.226192, 26.779784, 26.635364, 26.625660
31, 17667, 26.144894, 27.549027, 27.441869, 27.095772, 27.358630, 27.103643
32, 17867, 27.446614, 26.896242, 27.152589, 27.265614, 27.532292, 27.151286
33, 18097, 27.520610, 27.670574, 28.058751, 28.104266, 27.876249, 28.000422
34, 18226, 27.552375, 27.000482, 27.090209, 28.049976, 27.606754, 28.028803
35, 18326, 27.847060, 27.947270, 27.937824, 27.980674, 27.979457, 28.036200
36, 18461, 27.687473, 27.890966, 27.862070, 27.764515, 27.951665, 27.939888
37, 18528, 27.673623, 27.958517, 27.884943, 28.081721, 27.957093, 28.037527
38, 18598, 27.693633, 28.060105, 28.082615, 28.100784, 27.962404, 28.058105
39, 19192, 27.546434, 27.718438, 28.046164, 28.113597, 28.080065, 27.865362
40, 18666, 27.643682, 27.998266, 28.178100, 27.016013, 26.704897, 27.416049
41, 20216, 27.165485, 27.109401, 27.305823, 27.116967, 28.121613, 28.142370
42, 18847, 27.550447, 27.034064, 26.797041, 26.692078, 27.763334, 27.911219
43, 19388, 26.911958, 26.625062, 27.019593, 27.425798, 27.361026, 26.855234
44, 20303, 27.169979, 27.427798, 27.366503, 27.109601, 27.398269, 27.382313
45, 20394, 26.436551, 27.456835, 27.092538, 27.667682, 27.382183, 28.365502
46, 20481, 27.426268, 27.990270, 27.751189, 27.819960, 27.736636, 27.838250
47, 19475, 26.672025, 26.835647, 26.611731, 28.060232, 27.481935, 27.299218
48, 20129, 27.693293, 28.033710, 28.190258, 27.779386, 27.765891, 27.994280
49, 0, , , , , , 
50, 20534, 27.103494, 27.313741, 27.635620, 27.667466, 27.077342, 27.364901
51, 20712, 27.481346, 27.382546, 27.411035, 27.746695, 27.714152, 27.913416
52, 20625, 27.157710, 27.454510, 27.629800, 27.596550, 27.417336, 27.729400
53, 21131, 26.954356, 27.044730, 27.506571, 27.485169, 27.245873, 27.280927
54, 0, , , , , , 
55, 20947, 26.116705, 26.810124, 26.842221, 26.985420, 26.540012, 26.990158
56, 20849, 26.908583, 27.066399, 27.735698, 27.619041, 27.290917, 27.117114
57, 0, , , , , , 
58, 0, , , , , , 
59, 0, , , , , , 
60, 0, , , , , , 
61, 0, , , , , , 
62, 0, , , , , , 
63, 0, , , , , , 
64, 0, , , , , , 
