SECTOR, RUN, IB0, IB1, IB2, IB3, IB4, IB5
1, 13203, 0.213529, 1.612550, 0.818218, 0.449267, 0.608239, 0.545659
2, 13279, 0.654536, 0.326875, 0.374435, 0.652442, 0.866255, 1.032742
3, 13290, 0.279620, 0.783988, 0.570620, 1.126885, 0.780978, 0.318197
4, 13394, 0.291163, 0.196023, 0.439132, 0.623788, 0.532493, 0.369330
5, 13537, 1.182092, 0.302499, 0.951021, 1.279858, 1.243412, 0.981408
6, 13606, 0.795943, 0.917325, 0.932460, 1.170499, 0.790940, 0.548150
7, 13646, 1.023703, 0.262702, 0.364388, 0.999181, 0.422900, 0.467973
8, 13732, 0.652909, 1.051925, 0.557794, 0.911363, 0.515642, 0.584157
9, 13827, 1.191789, 0.946623, 1.500257, 0.757014, 0.654263, 1.140864
10, 16758, 1.149655, 1.151060, 0.262445, 1.144902, 0.733372, 0.894044
11, 13997, 1.000295, 0.314055, 1.364910, 1.155999, 1.108159, 0.624624
12, 15228, 1.086304, 1.083219, 0.206600, 1.244351, 1.089607, 0.998967
13, 16798, 1.218749, 0.304223, 0.975894, 0.335940, 0.617830, 0.541926
14, 14962, 0.390951, 0.607316, 0.895792, 0.615160, 1.284427, 0.998690
15, 15274, 0.629991, 0.613219, 0.749040, 0.913617, 0.935677, 1.066326
16, 16878, 0.803216, 1.254557, 1.077458, 0.693492, 1.644055, 0.876851
17, 15750, 1.169428, 0.764221, 1.079963, 0.273829, 0.681097, 0.512745
18, 15885, 0.488743, 0.686297, 0.722902, 0.639108, 0.616616, 0.952421
19, 16945, 2.082452, 2.499009, 0.965421, 2.769211, 1.331570, 2.084692
20, 16163, 0.323357, 0.326061, 1.051901, 0.807138, 2.125854, 0.967447
21, 16231, 0.390060, 0.399710, 0.857903, 1.167675, 1.128703, 1.167177
22, 16366, 0.765155, 0.549932, 0.780018, 0.749708, 0.982979, 0.921428
23, 16720, 0.721421, 1.490364, 0.823140, 0.951345, 0.985627, 0.664745
24, 16535, 1.142816, 1.256216, 1.166583, 0.352310, 0.403708, 0.299329
25, 17063, 0.919121, 1.022869, 0.568238, 0.706241, 0.772591, 0.969958
26, 17179, 1.087875, 1.120489, 0.322732, 0.341458, 0.336745, 0.638864
27, 17262, 0.767726, 0.829420, 1.104575, 0.688889, 1.037536, 0.951542
28, 17398, 0.298512, 1.267029, 0.797182, 0.713891, 1.025423, 1.228215
29, 17465, 0.838763, 1.050679, 0.792186, 0.506649, 0.986770, 0.500429
30, 17537, 0.879210, 0.428755, 0.803743, 0.905018, 0.843039, 0.801181
31, 17667, 0.393039, 1.077746, 0.700666, 0.822586, 0.777418, 0.609793
32, 17867, 0.531287, 0.446527, 0.482882, 0.404180, 0.442051, 1.923403
33, 18097, 0.761392, 0.200890, 0.187780, 0.309781, 0.259338, 0.217157
34, 18226, 0.280101, 0.388538, 0.388296, 0.326626, 0.287801, 0.448341
35, 18326, 0.294765, 0.292318, 0.298300, 0.270262, 0.495683, 0.421915
36, 18461, 0.269128, 0.273243, 0.353392, 0.337527, 0.333503, 0.194410
37, 18528, 0.362996, 0.337372, 0.242688, 0.315235, 0.312245, 0.256913
38, 18598, 0.361709, 0.315941, 0.353983, 0.396827, 0.382929, 0.374421
39, 19192, 0.899146, 0.343980, 0.402527, 0.314842, 0.484944, 0.386609
40, 18666, 0.274448, 0.370371, 0.356592, 0.479870, 0.570807, 0.739308
41, 20216, 0.680097, 0.883325, 0.911624, 0.661592, 0.319848, 0.291874
42, 18847, 0.434464, 0.637659, 0.372253, 0.342297, 0.551622, 0.250702
43, 19388, 0.656823, 0.560763, 0.777936, 0.677489, 0.872278, 0.577562
44, 20303, 1.057251, 0.875845, 0.724627, 0.650258, 0.823368, 0.890232
45, 20394, 0.401492, 0.805830, 0.904054, 0.827557, 0.998625, 0.551454
46, 20481, 0.533532, 0.525037, 0.398531, 0.479142, 0.488645, 0.487893
47, 19475, 0.611027, 0.702351, 0.419580, 0.504928, 0.622105, 0.720203
48, 20129, 0.316240, 0.309414, 0.358725, 0.636539, 0.400570, 0.556857
49, 0, , , , , , 
50, 20534, 0.412147, 0.793740, 0.421021, 0.501999, 0.716206, 0.596660
51, 20712, 1.045405, 0.312575, 0.528675, 0.323416, 0.336469, 0.407396
52, 20625, 0.382310, 0.300638, 0.560247, 0.396476, 0.234623, 0.336356
53, 0, , , , , , 
54, 0, , , , , , 
55, 0, , , , , , 
56, 0, , , , , , 
57, 0, , , , , , 
58, 0, , , , , , 
59, 0, , , , , , 
60, 0, , , , , , 
61, 0, , , , , , 
62, 0, , , , , , 
63, 0, , , , , , 
64, 0, , , , , , 
