channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 1040871256271517906016329647964020870158065530195150419224952751383912431994557526034129525320703140339880120619875923468175399934455193739654374273067235858748761030721950969271156736.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
2, 0.000000, -0.000183, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
4, 0.000000, 0.000000, 205158492636835555690866646132127012178872440820004004344927524903667654886747352343235151494199474506612028961312086511747650272445521246687860557198662014337024.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
5, 0.000000, 0.000000, 104010710517105350666926538246992105513843384989282426416810206379819908816382897370455619431621113854335056942869684878735186210386238601068075738450370230514070889286650411386563551990302019175069194808534348699898826692852865838215782727680.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
6, 0.000000, 0.000000, 17141163488842620873425174803151871577083760369879663158943527949044203069497928317170083966622931457791679751799632091277325822824389662091010726935564366089999824241429666205121785597639244784494802239775964135424.000000, 47573753336354268767508461684497742706744870337772828809745651839626347994745031942213460665818048011525149677265361104045341476230227680267089293904715359103403142823180232684050841600.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
7, 0.000000, 0.000000, 67419674531188151896283153706442995761864074227512552098490954303955266887034661806072978589343857105247814950689498080510294963551609108327598484469789922946265483224786135269122482109964329947234304.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
8, 1040871253303553088339075239237990617922299249773574230010410672415155758879790824755747119276906327604963580744703866355981727862238813327973359753456681997526043015722669703486767104.000000, 0.000000, 7270310014583812350254558152963223871782395497405377617580822194082182025581447422994818919560795835550571532967565818678671184990471555106299142058284244851259114538479457123790326816694707582877117178758365839400060547244228608.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
9, 0.000000, 0.000000, 67419674531188151896283153706442995761864074227512552098490954303955266887034661806072978589343857105247814950689498080510294963551609108327598484469789922946265483224786135269122482109964329947234304.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
