sector,mean,mean err,sigma,sigma err
1,295.567,4.87323,40.9436,3.76005
2,280.034,4.9768,40.8588,4.03172
3,246.767,4.37551,36.1759,3.42141
4,239.745,4.34917,34.2492,4.0988
5,243.765,4.69342,41.9308,3.97987
6,278.349,4.97036,43.8161,3.82266
7,252.438,3.82883,34.6911,3.75281
8,268.222,4.67816,41.0927,4.24282
9,273.12,6.54725,54.1662,5.04777
10,310.373,9.11767,65.3375,7.62987
11,278.203,5.36019,45.4738,4.40453
12,263.798,7.41824,56.6482,7.44067
13,281.563,3.77711,25.0583,3.2175
14,321.754,3.77814,28.5167,3.13139
16,358.271,4.39513,29.9426,4.31629
17,314.338,3.88419,27.917,3.4259
