channel, first gap spacing, first gap spacing err, other gap spacing, other gap spacing err, 1st peak amplitude, 1st peak amplitude err, 1st peak mean, 1st peak mean err, 1st peak sigma, 1st peak sigma err, 2nd peak amplitudes, 2nd peak amplitudes err, 2nd peak sigmas, 2nd peak sigmas err, 3rd peak amplitudes, 3rd peak amplitudes err, 3rd peak sigmas, 3rd peak sigmas err, 4th peak amplitudes, 4th peak amplitudes err, 4th peak sigmas, 4th peak sigmas err, 5th peak amplitudes, 5th peak amplitudes err, 5th peak sigmas, 5th peak sigmas err, 6th peak amplitudes, 6th peak amplitudes err, 6th peak sigmas, 6th peak sigmas err
0,18.000000,0.000400,24.000000,0.000159,4246.483493,31.699283,1529.000000,0.000434,5.388947,0.033279,5833.646357,44.171460,13.384253,0.027024,11696.520098,26.412796,15.681279,0.070489,7541.760328,52.103179,6.633215,0.032647,4399.780034,23.190507,7.568523,0.041369,2005.178984,8.284357,20.000000,0.002295
1,18.000000,0.001060,24.000000,0.000165,6284.677916,43.640450,1524.984937,0.039942,5.531803,0.026153,8910.663469,42.461328,13.339840,0.024232,10297.041018,31.214481,15.830071,0.078760,5103.099363,61.422970,6.707943,0.042882,3443.992681,20.915832,7.342172,0.048941,1388.181629,6.967686,20.000000,0.014214
2,18.000000,0.003390,24.000000,0.000211,8058.183053,44.825154,1464.514035,0.030665,5.577651,0.023610,9873.747020,40.845275,13.626278,0.023319,8985.407832,28.634774,15.945516,0.075979,5117.367813,50.890241,6.634829,0.040454,3120.293297,19.786724,7.341802,0.048661,1295.767839,6.694241,20.000000,0.009196
3,18.000000,0.001174,24.000000,0.000310,6459.628163,42.056385,1540.604458,0.036564,5.631542,0.025127,8088.650774,39.018529,13.536314,0.024219,10022.896902,31.734275,14.262291,0.079751,7827.808486,59.817543,6.202907,0.026096,3380.817932,18.500745,8.874269,0.058704,1663.689054,7.966325,20.000000,0.002096
4,20.243530,0.024265,24.003302,0.019080,17250.278310,47.069569,1568.496129,0.033098,7.575587,0.022736,27021.881703,55.999623,7.430563,0.018697,9287.872495,31.735163,7.849686,0.030562,2418.246687,16.279428,9.012187,0.071620,540.960682,8.550676,10.273396,0.166191,172.916750,3.126646,19.993826,0.202095
5,20.306184,0.027629,24.000000,0.003133,15971.965118,44.495772,1488.185645,0.038051,7.935302,0.022995,26090.863424,56.388813,7.557688,0.020055,9715.805371,31.511662,8.176990,0.033005,2614.458367,18.027651,8.508685,0.067704,640.968479,9.797882,9.026732,0.168684,201.208654,4.699992,18.941615,0.508150
6,20.656912,0.026048,24.614426,0.050236,17514.289635,48.656446,1543.316680,0.039356,7.596290,0.023399,26480.248742,54.277171,7.485998,0.025818,9130.579308,30.424149,8.095747,0.033364,2554.790405,16.642635,8.542106,0.066828,613.299888,9.571718,9.213299,0.183350,195.870913,4.468945,17.663269,0.487218
7,20.000357,0.021861,24.106177,0.057127,22187.347503,52.713011,1517.474081,0.034500,7.673449,0.021217,24799.356872,56.771896,7.165981,0.026916,8037.703821,28.920819,7.778688,0.033260,2010.563739,15.116491,8.493795,0.080546,450.623550,7.867093,9.789624,0.194412,151.323460,2.890445,20.000000,0.362077
8,18.000000,0.001954,24.000000,0.000191,7338.905304,44.288473,1478.977760,0.030315,5.321304,0.025178,9384.688381,41.389005,13.671873,0.023507,9443.130503,28.897131,16.116015,0.077856,5389.437696,53.441299,6.714348,0.041014,3388.706975,20.688690,7.264372,0.046406,1378.739153,6.781592,20.000000,0.006417
9,18.000000,0.000621,24.000000,0.000180,5138.772245,44.469780,1491.530822,0.049576,5.392207,0.028020,7927.708045,43.642991,13.462233,0.028077,10871.731466,34.215077,15.263701,0.090588,6535.834025,77.607447,6.565822,0.035791,3834.596215,21.442919,7.698937,0.051526,1603.939017,7.564340,20.000000,0.003253
10,18.000000,0.000804,24.000000,0.000285,4302.998596,31.746943,1430.000000,0.005462,5.591803,0.030979,7403.986440,42.201689,13.063669,0.022016,11426.656064,26.468951,14.151640,0.068546,8542.267693,51.882201,6.390805,0.027153,4086.733410,20.549790,8.635557,0.047032,1852.349325,8.266085,20.000000,0.001908
11,25.998646,0.001906,27.961044,0.043759,6646.171138,21.754160,1465.268542,0.021758,9.009015,0.024463,19881.581922,43.208884,7.592185,0.017049,12747.850426,37.013179,9.731350,0.035211,4398.362893,14.672104,11.179084,0.114875,2049.029391,22.927418,16.838516,0.138851,447.865783,6.931736,13.205595,0.274834
12,18.000000,0.000750,24.000000,0.000205,4872.248423,44.142665,1511.593874,0.049341,5.443847,0.030382,8094.716787,44.014311,13.437850,0.026750,10990.252725,34.194632,15.147306,0.090061,6964.902981,75.608978,6.518066,0.033388,3848.316138,21.107888,7.897080,0.052622,1638.911151,7.772238,20.000000,0.003225
13,24.259577,0.021218,24.607889,0.038504,12937.159109,32.449867,1448.167882,0.020948,8.427700,0.019025,22918.173729,41.841062,6.888212,0.015445,7914.164221,19.554703,9.796720,0.056330,3786.792485,15.807242,18.725325,0.044505,54.170271,6.579814,5.420031,0.032472,870.282196,4.383397,14.974739,0.146233
14,18.000000,0.000019,24.000000,0.000858,3241.448599,29.221750,1478.000000,0.001530,5.658603,0.039894,5967.139239,39.484424,13.806827,0.027806,11736.254044,27.716858,13.620710,0.063242,9586.401280,51.636245,6.520785,0.025298,4548.886645,21.146572,9.364707,0.048643,2257.082593,9.636565,20.000000,0.001107
15,18.000000,0.000635,24.000000,0.000513,3586.084025,29.407538,1436.000000,0.000743,5.683448,0.036162,5439.638843,41.011058,13.770587,0.029669,11944.210087,27.330156,14.124139,0.065293,9443.632011,52.729803,6.493597,0.025826,4465.804762,21.132755,9.237450,0.048668,2244.856943,9.475770,20.000000,0.001318
16,26.000000,0.000497,30.361948,0.026735,10716.300518,30.121339,1510.168639,0.018189,8.446416,0.021925,22773.896312,47.725720,7.341366,0.014989,10909.231206,29.397801,10.000335,0.033146,4317.173339,22.972015,8.081528,0.045286,1555.405621,9.751157,14.912514,0.146891,374.508077,17.433933,5.000000,0.021147
17,18.000000,0.000699,24.000000,0.000238,4942.629506,40.780323,1524.509995,0.045224,5.570696,0.028227,7149.146922,45.439944,13.175088,0.027621,11282.970056,32.098608,14.942146,0.091076,7217.960883,75.264030,6.496463,0.032607,3984.641816,21.608822,7.840811,0.050387,1851.535702,8.194325,20.000000,0.002683
18,26.000000,0.000601,30.186246,0.027992,12483.083526,33.125350,1437.684855,0.019979,8.156994,0.020735,21889.789254,45.296185,7.846079,0.017068,10446.145132,29.519622,9.658153,0.032758,3900.909765,20.528999,8.296818,0.046655,1436.796199,9.726320,14.133637,0.141656,371.212000,14.259407,5.000000,0.027254
19,18.000000,0.000878,24.000000,0.000184,6233.448348,44.284781,1480.333688,0.031777,5.156121,0.027873,8177.604362,41.525442,13.855933,0.025458,9653.448499,28.586376,16.114628,0.079013,6453.820965,56.284550,6.661532,0.036646,3812.716456,22.240346,7.056417,0.043248,1615.295435,7.392511,20.000000,0.002731
20,26.000000,0.000301,30.421040,0.030782,13509.112616,33.495930,1524.594490,0.019731,8.257614,0.019523,22402.523340,47.128357,7.655343,0.016576,9930.546681,26.781094,9.670466,0.031354,3569.194088,21.244452,8.399976,0.052784,1288.049928,8.897543,15.128193,0.182691,246.893313,20.417688,5.000000,0.031317
21,25.999999,0.001632,29.931487,0.027742,14160.557021,35.249628,1484.537944,0.019139,7.822077,0.018584,21999.007712,45.651055,8.029609,0.018435,10082.519858,28.601121,8.892442,0.030707,3721.826213,18.584830,9.124094,0.059118,1238.368423,7.953758,10.870295,0.184419,388.186691,11.848915,19.164346,0.057825
22,25.271602,0.029733,29.106582,0.031753,11070.645096,32.573276,1492.302591,0.032743,7.991676,0.025314,22880.519166,47.820135,7.809069,0.021043,11307.288848,31.388033,8.971555,0.032721,4443.297702,21.452013,8.634533,0.048260,1284.554646,10.662692,12.088170,0.194771,505.791559,10.589821,20.000000,0.137157
23,18.000000,0.020097,24.000000,0.000379,7044.685398,41.931379,1483.575785,0.029975,5.508953,0.025399,8830.126296,37.539658,13.886793,0.023479,9040.125796,28.673728,14.915803,0.073428,7471.407878,51.330091,6.262896,0.027235,3352.433931,18.932197,8.399325,0.054578,1542.155515,7.522720,20.000000,0.002243
24,26.000000,0.000244,30.932468,0.031659,9664.925068,27.689483,1402.687029,0.021503,9.135437,0.024271,21694.086533,45.224747,7.549687,0.015191,11229.989662,29.962923,10.011181,0.033356,4178.373893,24.504118,8.710113,0.049943,1618.133414,9.806514,16.132832,0.180498,152.931026,32.952305,5.000000,0.056491
25,26.000000,0.000176,29.717227,0.034282,12175.217439,29.693632,1428.828727,0.019768,8.936879,0.019912,23098.768225,46.214360,7.328413,0.014523,10256.798555,29.180947,9.523452,0.034011,3505.708088,21.638570,8.542037,0.057375,1318.111431,8.627350,16.903592,0.140482,10.000064,2.418387,16.547346,0.085608
