channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma, actual peak1 height, actual peak2 height
0, 23.547443, 8.031642, 22.516260, 3.138154, 0.082556, 1.570224, 1.652460, 0.314045, 1.652460, 0.314045, 1.652460, 0.000000, 0.000000, 430.742667, 6.245571, 1.699142, 77.816089, 10.793332
1, 20.000013, 1.574527, -98.070079, 3994.247149, 28.467345, 999991.195005, 15.501739, 49.099285, 16.166472, 49.099285, 16.166472, 0.000000, 0.000000, 310.491274, 7.668135, 2.322084, 61.736018, 630082.331373
2, 29.168557, 5.080859, 23.932600, 3.746615, -0.145332, 1.542828, 1.814750, 0.376121, 2.210098, 0.376121, 2.210098, 0.000000, 0.000000, 417.914728, 6.395242, 1.666162, 75.498650, 8.429178
3, 25.971181, 5.860862, -43.442949, 5571.490302, 13.166307, 0.000000, 6.835584, 1.047954, 6.835480, 1.047954, 6.835480, 0.000000, 0.000000, 1083.152694, 8.667811, -0.932741, 59.735489, 5571.490302
4, 31.315933, 1.521128, 8.356871, 60.669700, 3.609006, 9.768402, 4.428849, 84337.926519, 7.130293, 84337.926519, 7.130293, 0.000000, 0.000000, 117.226968, 6.004225, 1.842475, 77.101002, 77.101002
5, 39.999936, 1.215775, 8.454795, 65.471504, 3.523145, 17.131928, 7.345606, 3.979137, 13.677239, 3.979137, 13.677239, 0.000000, 0.000000, 131.734447, 5.299236, 1.473082, 79.673718, 79.673718
6, 30.508663, 1.113718, 8.322632, 72.088211, 4.114494, 12838.453948, 3.655799, 26086.687188, 6.591213, 26086.687188, 6.591213, 0.000000, 0.000000, 88774.642183, -13.322242, -63.605976, 68.565504, 72.088211
7, 23.547443, 9.636787, 21.499905, -33662.438604, 0.013422, 1.090455, 1.201139, 0.218091, 1.201139, 0.218091, 1.201139, 0.000000, 0.000000, 429.314769, 5.677247, 1.628137, 77.558132, 10.719214
8, 28.979328, 0.797216, 24.671957, 16.530640, 4.688398, 1.342427, 3.379374, 4828.047449, 4.183465, 4828.047449, 4.183465, 0.000000, 0.000000, 168.619228, 8.699856, 3.296524, 30.491123, 23.738099
9, 39.999970, 1.471807, 10.529401, 44.656657, 6.499594, 1.154898, 23.892225, 15.627671, 13.064885, 15.627671, 13.064885, 0.000000, 0.000000, 262.416371, 8.999721, -1.650591, 38.819980, 44.941228
