,,,Vop,,,,,,,,,,,,,,,,,,
count,DAQ Channel,Interface Brd #,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19
,,,,,,,,,,,,OK,,,,,,OK,,,
1,0,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
2,1,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
3,2,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
4,3,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
5,4,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
6,5,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
7,6,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
8,7,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
9,8,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.63,68.63
10,9,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.63,68.63
11,10,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.63,68.63
12,11,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.63,68.63
13,12,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
14,13,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
15,14,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
16,15,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
17,16,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
18,17,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
19,18,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
20,19,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
21,20,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
22,21,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
23,22,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
24,23,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
25,24,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
26,25,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
27,26,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
28,27,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
