,,D,C,B,A
sector_1,123,68.98,68.98,68.98,68.98
,123,68.98,68.98,68.98,68.98
,123,68.98,68.98,68.98,68.98
,4,68.98,68.98,68.98,68.98
,5,68.98,68.98,68.98,68.98
,6,68.98,68.98,68.98,68.98
,7,68.98,68.98,68.98,68.98
,8,68.98,68.98,68.98,68.98
,9,68.98,68.98,68.98,68.98
,10,68.98,68.98,68.98,68.98
,11,68.98,68.98,68.98,68.98
,12,68.98,68.98,68.98,68.98
,13,68.98,68.98,68.98,68.98
,14,68.98,68.98,68.98,68.98
,15,68.98,68.98,68.98,68.98
,16,68.98,68.98,68.98,68.98
,17,68.98,68.98,68.98,68.98
,18,68.98,68.98,68.98,68.98
,19,68.98,68.98,68.98,68.98
,20,68.98,68.98,68.98,68.98
,21,68.98,68.98,68.98,68.98
,22,68.98,68.98,68.98,68.98
,23,68.98,68.98,68.98,68.98
,24,68.98,68.98,68.98,68.98
sector_2,123,69.33,69.33,69.33,69.33
,123,69.33,69.33,69.33,69.33
,123,69.33,69.33,69.33,69.33
,4,69.33,69.33,69.33,69.33
,5,69.33,69.33,69.33,69.33
,6,69.33,69.33,69.33,69.33
,7,69.33,69.33,69.33,69.33
,8,69.33,69.33,69.33,69.33
,9,69.33,69.33,69.33,69.33
,10,69.33,69.33,69.33,69.33
,11,69.33,69.33,69.33,69.33
,12,69.33,69.33,69.33,69.33
,13,69.33,69.33,69.33,69.33
,14,69.33,69.33,69.33,69.33
,15,69.33,69.33,69.33,69.33
,16,69.33,69.33,69.33,69.33
,17,69.33,69.33,69.33,69.33
,18,69.33,69.33,69.33,69.33
,19,69.33,69.33,69.33,69.33
,20,69.33,69.33,69.33,69.33
,21,69.33,69.33,69.33,69.33
,22,69.33,69.33,69.33,69.33
,23,69.33,69.33,69.33,69.33
,24,69.33,69.33,69.33,69.33
sector_3,123,69.33,69.33,69.33,69.33
,123,69.33,69.33,69.33,69.33
,123,69.33,69.33,69.33,69.33
,4,69.33,69.33,69.33,69.33
,5,69.33,69.33,69.33,69.33
,6,69.33,69.33,69.33,69.33
,7,69.33,69.33,69.33,69.33
,8,69.33,69.33,69.33,69.33
,9,69.33,69.33,69.33,69.33
,10,69.33,69.33,69.33,69.33
,11,69.33,69.33,69.33,69.33
,12,69.33,69.33,69.33,69.33
,13,69.33,69.33,69.33,69.33
,14,69.33,69.33,69.33,69.33
,15,69.33,69.13,69.33,69.33
,16,69.33,69.33,69.33,69.33
,17,69.13,69.13,69.13,69.33
,18,69.13,69.13,69.13,69.13
,19,69.13,69.13,69.13,69.13
,20,69.13,69.13,69.13,69.13
,21,69.13,69.13,69.13,69.13
,22,69.13,69.13,69.13,69.13
,23,69.13,69.13,69.13,69.13
,24,69.13,69.13,69.13,69.13
sector_4,1,69.13,69.13,69.13,69.13
,2,69.13,69.13,69.13,69.13
,3,69.13,69.13,69.13,69.13
,4,69.13,69.13,69.13,69.13
,5,69.13,69.13,69.13,69.13
,6,69.13,69.13,69.13,69.13
,7,69.13,69.13,69.13,69.13
,8,69.13,69.13,69.13,69.13
,9,69.13,69.13,69.13,69.13
,10,69.13,69.13,69.13,69.13
,11,69.13,69.13,69.13,69.13
,12,69.13,69.13,69.13,69.13
,13,69.13,69.13,69.13,69.13
,14,69.13,69.13,69.13,69.13
,15,69.13,69.13,69.13,69.13
