channel_num, sp_gap, chisqr/ndf, gauss1 mean, gauss1 ampl, gauss1 sigma, gauss2 ampl, gauss2 sigma, gauss3 ampl, gauss3 sigma, gauss4 ampl, gauss4 sigma, gauss5 ampl, gauss5 sigma, landau ampl, landau mpv, landau sigma
0, 25.655663, 24.740026, 30.635521, 12445.671556, 7.296864, 5107.024581, 7.121289, 428.757085, 8.818968, 428.757085, 8.818968, 0.000000, 0.000000, 69364.363579, 7.996628, 2.910765
1, 24.611391, 31.308226, 30.093156, 12341.598869, 7.331190, 4893.387296, 6.700575, 398.768302, 8.732883, 398.768302, 8.732883, 0.000000, 0.000000, 72529.311004, 7.926259, 2.928011
2, 25.984579, 22.881449, 31.125767, 12237.331115, 7.464100, 5322.184028, 7.345076, 492.712322, 9.081810, 492.712322, 9.081810, 0.000000, 0.000000, 62057.502390, 8.249043, 3.025978
3, 25.978313, 21.822754, 31.236261, 12611.049905, 6.653959, 4583.372606, 7.129339, 363.668688, 8.510112, 363.668688, 8.510112, 0.000000, 0.000000, 79223.018522, 8.076788, 2.938020
4, 28.051901, 56.457435, 31.850718, 9240.878697, 4.986877, 2183.748522, 6.482219, 122.668838, 5.481777, 122.668838, 5.481777, 0.000000, 0.000000, 148347.020101, 7.609275, 2.649208
5, 27.630090, 73.281697, 31.883532, 8570.173864, 4.800526, 1999.701010, 5.982337, 83.326171, 4.465943, 83.326171, 4.465943, 0.000000, 0.000000, 160703.353299, 7.471409, 2.565405
6, 28.945218, 59.947100, 32.609451, 10350.508223, 5.233477, 2536.240550, 7.057738, 151.007235, 8.091187, 151.007235, 8.091187, 0.000000, 0.000000, 139523.087323, 7.460001, 2.565680
7, 28.386839, 60.850366, 32.300890, 9990.402026, 5.151916, 2520.951100, 6.688435, 137.644085, 7.045098, 137.644085, 7.045098, 0.000000, 0.000000, 141844.294729, 7.525094, 2.594248
8, 27.601972, 47.460203, 32.356262, 10531.563166, 5.336019, 2718.750173, 7.106867, 139.883265, 8.200179, 139.883265, 8.200179, 0.000000, 0.000000, 131593.195806, 7.700240, 2.680148
9, 26.798691, 46.077874, 31.308171, 9746.053044, 5.084199, 2452.864922, 6.310019, 103.142205, 7.019784, 103.142205, 7.019784, 0.000000, 0.000000, 142124.416028, 7.622423, 2.693784
10, 28.631488, 44.825438, 32.844606, 10651.225289, 5.461071, 2779.965154, 7.292675, 153.355575, 8.467201, 153.355575, 8.467201, 0.000000, 0.000000, 126673.227563, 7.776850, 2.711995
11, 27.834805, 46.612982, 32.461043, 10662.265276, 5.406324, 2803.187763, 6.907604, 159.607191, 8.264484, 159.607191, 8.264484, 0.000000, 0.000000, 128921.937292, 7.641242, 2.678900
12, 25.579157, 22.600289, 30.999830, 11936.127340, 7.553706, 5058.932573, 7.280999, 455.851073, 9.146783, 455.851073, 9.146783, 0.000000, 0.000000, 67916.648450, 8.148703, 3.005564
13, 25.678995, 25.906436, 30.195496, 12052.918100, 7.510046, 4964.449765, 7.215455, 416.537968, 8.920193, 416.537968, 8.920193, 0.000000, 0.000000, 70807.730825, 7.977889, 2.932339
14, 25.775880, 26.993230, 30.597131, 12000.767996, 7.752139, 5356.414416, 7.339337, 498.849813, 9.179058, 498.849813, 9.179058, 0.000000, 0.000000, 61108.401412, 8.149146, 3.027228
15, 25.758699, 19.494352, 30.952290, 12453.496382, 6.680088, 4484.500173, 7.058072, 321.829465, 8.559720, 321.829465, 8.559720, 0.000000, 0.000000, 83412.799137, 8.076976, 2.935964
16, 29.523594, 78.159670, 33.274368, 9439.634087, 5.032683, 2208.132853, 6.960503, 123.658931, 8.347295, 123.658931, 8.347295, 0.000000, 0.000000, 147418.427269, 7.629770, 2.569003
