,D,C,B,A
sector_1,227,229,247,255
,235,267,1286,1297
,1298,1300,1313,1361
,277,275,279,287
,291,298,303,1235
,305,306,1209,1365
,1161,1162,1178,1367
,1140,1145,1151,1153
,1102,1103,1109,1115
,1067,1074,1083,1094
,1040,1042,1055,1062
,997,1007,1017,1029
,418,431,979,1375
,443,939,940,960
,928,930,933,1379
,874,878,879,880
,487,492,846,849
,499,501,809,812
,513,777,788,789
,536,547,559,623
,577,643,747,769
,600,679,650,684
,604,636,666,670
,704,714,719,733
sector_2,200,262,246,250
,202,1400,244,261
,220,221,1296,211
,269,283,280,268
,290,297,134,293
,307,312,314,313
,330,327,311,331
,347,1128,338,346
,1110,358,354,357
,1072,372,1078,1087
,388,1034,390,1061
,417,409,1014,1009
,419,414,422,423
,946,948,435,442
,910,459,464,461
,478,881,467,468
,482,484,493,483
,834,498,502,507
,514,516,523,787
,558,541,550,549
,570,563,569,1390
,649,592,683,589
,631,639,638,628
,723,718,732,709
sector_3,231,249,241,207
,266,263,233,199
,256,1306,257,265
,1274,1261,272,1282
,289,302,1242,1227
,1204,309,1200,317
,1184,1179,1173,1186
,339,1135,352,344
,356,1098,1116,1099
,370,1068,376,379
,391,1052,387,398
,402,407,401,406
,424,427,432,420
,441,440,932,447
,452,457,458,454
,894,473,477,465
,856,494,481,485
,512,500,508,805
,797,526,527,528
,556,539,582,532
,576,566,757,574
,651,591,681,654
,629,606,671,605
,708,716,706,713
sector_4,245,225,209,218
,237,193,228,248
,213,243,260,197
,1279,273,1362,276
,1237,299,288,300
,318,316,315,1216
,322,1190,336,1188
,351,1134,350,1136
,363,365,364,367
,369,1077,375,374
,1046,386,396,1041
,415,411,408,410
,421,994,982,429
,434,436,935,439
,460,911,921,902
,479,480,871,892
,845,838,843,854
,810,815,510,828
,521,773,785,517
,584,540,542,581
,571,743,760,768
,587,593,659,596
,617,637,663,676
,695,726,721,703
sector_5,208,204,196,234
,230,194,222,251
,264,259,258,1345
,274,1284,1260,1363
,296,1238,301,1225
,1214,1222,308,319
,1174,1164,1182,1191
,348,1149,1157,337
,1097,361,362,1123
,1086,1065,384,1073
,1054,1059,395,1038
,1003,998,416,1018
,969,987,986,988
,444,941,937,942
,912,924,927,929
,466,875,891,476
,489,841,866,867
,808,509,505,835
,518,794,522,799
,620,529,531,553
,575,770,740,562
,647,689,598,687
,635,640,675,672
,720,724,725,710
sector_6,1324,1349,1315,1307
,1338,1317,252,1333
,1312,1405,1347,1321
,1262,1285,1276,1283
,1241,1251,1253,1234
,1210,1221,1220,1198
,324,325,1168,1167
,1155,1144,1147,1158
,359,1121,1117,1150
,1079,1082,378,1063
,1035,1057,385,392
,413,1020,1008,1016
,975,977,976,981
,947,963,944,961
,453,450,451,449
,472,873,900,475
,850,868,490,495
,814,511,816,813
,795,524,779,786
,546,580,548,583
,753,765,746,751
,588,585,657,644
,602,669,609,619
,699,700,1396,729
sector_7,1323,206,1309,1304
,1314,1364,1322,1339
,1352,1397,1359,1299
,1273,278,1275,1280
,1243,1240,1229,1257
,1202,1211,1217,1206
,1163,1187,1172,1176
,1154,1156,1137,1139
,1113,1095,1126,366
,1064,1081,1075,1091
,1060,1053,1033,1039
,1010,1001,1026,1005
,456,980,983,989
,952,951,943,949
,905,915,965,923
,897,895,474,899
,839,858,847,486
,825,823,822,806
,781,780,520,784
,561,557,579,552
,741,761,1391,763
,655,658,677,678
,674,615,673,627
,771,705,735,696
sector_8,223,1346,1342,212
,1318,1311,1344,1340
,1398,1310,1319,1327
,1271,1270,1267,1278
,1230,1245,1233,292
,1219,1196,1193,1215
,1165,1170,1177,1185
,1130,1152,1368,1160
,1124,1114,1106,1119
,1090,382,1080,1069
,1030,1032,1050,1037
,405,1022,1004,1013
,984,970,991,993
,938,957,956,959
,916,925,918,913
,887,896,469,893
,855,488,851,862
,807,827,820,821
,796,790,778,776
,560,538,544,530
,754,748,745,756
,648,686,682,691
,607,661,633,611
,692,715,737,738
sector_9,1406,1343,1320,1301
,1337,1356,1399,1302
,1303,1401,1341,1316
,1442,1269,1272,1263
